rsi_buy,rsi_sell,hist_thresh,sl_pct,tp_pct,trailing,end_capital,gross_pnl,trades,win_rate,max_dd
35.0,65.0,0.02,0.01,0.04,False,9990.089931352793,-9.91006864720729,74,31.08108108108108,22.416562356271243
35.0,75.0,0.02,0.01,0.04,False,10008.557652921485,8.557652921487207,23,30.434782608695656,10.004990419256501
25.0,65.0,0.0,0.01,0.02,False,9992.229139360725,-7.77086063927253,64,29.6875,16.988203620139757
30.0,70.0,0.02,0.01,0.02,False,9996.99820076008,-3.0017992399161377,24,29.166666666666668,9.995800879947637
25.0,65.0,0.02,0.01,0.02,False,9991.230216163716,-8.769783836284594,62,29.03225806451613,16.988203620139757
30.0,65.0,0.0,0.01,0.02,False,9986.537588701527,-13.46241129847135,66,27.27272727272727,20.527722487107894
30.0,65.0,0.02,0.01,0.02,False,9985.539234488866,-14.46076551113557,64,26.5625,20.527722487107894
25.0,70.0,0.0,0.01,0.04,False,10004.996498850742,4.996498850745018,20,25.0,7.998199560386638
25.0,70.0,0.02,0.01,0.04,False,10004.996498850742,4.99649885074502,20,25.0,7.998199560386638
30.0,75.0,0.0,0.01,0.04,False,10001.998300040095,1.9983000400949766,8,25.0,4.000199640064238
30.0,75.0,0.02,0.01,0.04,False,10001.998300040095,1.9983000400949789,8,25.0,4.000199640064238
30.0,75.0,0.0,0.01,0.02,False,9997.999500159995,-2.000499840005014,8,25.0,3.999699900025007
30.0,75.0,0.02,0.01,0.02,False,9997.999500159995,-2.0004998400050042,8,25.0,3.999699900025007
30.0,70.0,0.02,0.01,0.04,False,10000.819461611396,0.8194616114024444,23,21.73913043478261,9.996500000455853
30.0,70.0,0.0,0.01,0.04,False,10000.995100510972,0.9951005109756512,24,20.833333333333336,9.996500000455853
30.0,65.0,0.02,0.01,0.04,False,9988.967027371607,-11.032972628394527,54,20.37037037037037,21.910818955022478
25.0,65.0,0.02,0.01,0.04,False,9993.621841025004,-6.378158974993127,50,20.0,19.47915653833479
30.0,65.0,0.0,0.01,0.04,False,9987.881344283167,-12.118655716836276,55,20.0,21.910818955022478
25.0,65.0,0.0,0.01,0.04,False,9992.642010547514,-7.357989452482931,51,19.607843137254903,19.47915653833479
